Date,Price,Open,High,Low,Vol.M,Change %
2014-01-10,1835,1870,1883,1832,25.88,-3.12
2014-01-14,1793,1795,1804,1776,19.74,-2.29
2014-01-15,1808,1819,1820,1797,9.96,0.84
2014-01-16,1804,1818,1847,1797,13.31,-0.22
2014-01-17,1780,1789,1792,1768,12.96,-1.33
2014-01-20,1767,1784,1792,1762,9.81,-0.73
2014-01-21,1771,1765,1785,1765,6.77,0.23
2014-01-22,1756,1757,1761,1739,13.03,-0.85
2014-01-23,1764,1796,1800,1763,13.08,0.46
2014-01-24,1763,1739,1786,1730,13.66,-0.06
2014-01-27,1711,1705,1718,1701,11.78,-2.95
2014-01-28,1665,1675,1708,1644,23.66,-2.69
2014-01-29,1690,1690,1694,1676,9.97,1.5
2014-01-30,1651,1675,1675,1640,11.79,-2.31
2014-01-31,1626,1655,1665,1609,12.35,-1.51
2014-02-03,1581,1603,1621,1576,11.98,-2.77
2014-02-04,1530,1520,1554,1514,18.1,-3.23
2014-02-05,1600,1630,1650,1569,21.49,4.58
2014-02-06,1624,1603,1627,1581,11.84,1.5
2014-02-07,1691,1680,1707,1651,33.12,4.13
2014-02-10,1702,1711,1737,1688,18.04,0.65
2014-02-12,1765,1735,1768,1725,20.73,3.7
2014-02-13,1729,1761,1763,1712,12.99,-2.04
2014-02-14,1703,1742,1765,1672,14.28,-1.5
2014-02-17,1718,1722,1725,1678,11.21,0.88
2014-02-18,1780,1720,1784,1720,14.82,3.61
2014-02-19,1748,1759,1762,1728,11.42,-1.8
2014-02-20,1741,1749,1758,1737,9.8,-0.4
2014-02-21,1766,1755,1779,1748,13.56,1.44
2014-02-24,1775,1764,1795,1753,11.39,0.51
2014-02-25,1766,1780,1785,1758,8.55,-0.51
2014-02-26,1764,1765,1790,1758,8.48,-0.11
2014-02-27,1757,1764,1776,1745,6.44,-0.4
2014-02-28,1780,1785,1797,1756,15.78,1.31
2014-03-03,1760,1738,1762,1720,9.14,-1.12
2014-03-04,1746,1733,1757,1723,8.02,-0.8
2014-03-05,1783,1772,1794,1764,9.99,2.12
2014-03-06,1825,1788,1842,1787,21.66,2.36
2014-03-07,1844,1852,1863,1837,13.13,1.04
2014-03-10,1864,1860,1885,1849,16.63,1.08
2014-03-11,1867,1859,1885,1857,13.03,0.16
2014-03-12,1840,1839,1859,1836,9.56,-1.45
2014-03-13,1839,1841,1864,1836,6.94,-0.05
2014-03-14,1761,1782,1794,1758,14,-4.24
2014-03-17,1728,1743,1748,1704,10.27,-1.87
2014-03-18,1720,1754,1756,1714,7.72,-0.46
2014-03-19,1731,1736,1756,1713,10.61,0.64
2014-03-20,1757,1765,1784,1737,16.52,1.5
2014-03-24,1798,1815,1824,1797,12.13,2.33
2014-03-25,1837,1790,1845,1772,12.31,2.17
2014-03-26,1871,1852,1874,1851,15.54,1.85
2014-03-27,1881,1838,1890,1805,14.54,0.53
2014-03-28,1897,1864,1905,1860,11.24,0.85
